iter	Passed	Remaining
0	56	56313
1	57	28450
2	57	19137
3	58	14508
4	58	11714
5	59	9850
6	60	8521
7	60	7521
8	61	6753
9	61	6120
10	62	5602
11	62	5172
12	63	4812
13	63	4499
14	64	4226
15	64	3990
16	65	3784
17	65	3597
18	66	3427
19	66	3278
20	67	3143
21	67	3018
22	68	2904
23	68	2799
24	69	2703
25	69	2613
26	70	2531
27	70	2456
28	71	2387
29	71	2323
30	72	2260
31	72	2201
32	73	2146
33	73	2093
34	74	2044
35	74	1997
36	74	1951
37	75	1909
38	75	1869
39	76	1830
40	76	1794
41	77	1759
42	77	1727
43	78	1696
44	78	1666
45	79	1638
46	79	1613
47	80	1588
48	80	1565
49	81	1540
50	81	1516
51	82	1496
52	82	1475
53	83	1454
54	83	1434
55	83	1415
56	84	1396
57	84	1378
58	85	1364
59	86	1347
60	86	1332
61	87	1317
62	87	1300
63	87	1284
64	88	1269
65	88	1254
66	89	1239
67	89	1225
68	89	1211
69	90	1198
70	90	1185
71	90	1172
72	91	1160
73	91	1148
74	92	1136
75	92	1125
76	92	1114
77	93	1103
78	93	1093
79	94	1083
80	94	1073
81	95	1064
82	95	1056
83	96	1048
84	96	1040
85	97	1031
86	97	1022
87	97	1013
88	98	1005
89	98	997
90	99	990
91	99	982
92	100	975
93	100	968
94	100	960
95	101	953
96	101	947
97	102	941
98	102	934
99	103	927
100	103	920
101	103	913
102	104	907
103	104	901
104	104	894
105	105	888
106	105	882
107	106	877
108	106	871
109	107	865
110	107	860
111	107	854
112	108	849
113	108	845
114	109	839
115	109	834
116	109	829
117	110	825
118	110	821
119	111	816
120	111	811
121	112	806
122	112	801
123	112	796
124	113	792
125	113	787
126	114	783
127	114	779
128	114	774
129	115	770
130	115	765
131	115	761
132	116	757
133	116	754
134	117	750
135	117	746
136	117	743
137	118	739
138	118	735
139	119	731
140	119	727
141	119	723
142	120	720
143	120	716
144	120	713
145	121	709
146	121	706
147	122	702
148	122	698
149	122	695
150	123	692
151	123	688
152	123	685
153	124	682
154	124	679
155	124	675
156	125	672
157	125	669
158	126	666
159	126	663
160	126	661
161	127	658
162	127	655
163	127	652
164	128	649
165	128	646
166	129	644
167	129	641
168	130	639
169	130	637
170	130	634
171	131	631
172	131	629
173	132	627
174	132	625
175	132	622
176	133	619
177	133	617
178	134	614
179	134	612
180	134	609
181	135	607
182	135	604
183	135	602
184	136	600
185	136	597
186	136	595
187	137	593
188	137	591
189	138	589
190	138	587
191	139	585
192	139	583
193	139	580
194	140	579
195	140	577
196	141	575
197	141	573
198	141	570
199	142	568
200	142	566
201	142	564
202	143	562
203	143	560
204	143	558
205	144	556
206	144	554
207	145	552
208	145	550
209	145	549
210	146	547
211	146	545
212	147	543
213	147	542
214	147	540
215	148	538
216	148	536
217	149	535
218	149	533
219	149	531
220	150	529
221	150	527
222	150	525
223	151	524
224	152	524
225	152	522
226	152	520
227	153	519
228	153	517
229	154	516
230	154	514
231	154	512
232	155	511
233	155	509
234	156	508
235	156	506
236	157	505
237	157	504
238	157	502
239	158	501
240	158	499
241	159	498
242	159	496
243	159	495
244	160	493
245	160	492
246	161	491
247	161	489
248	161	488
249	162	486
250	162	485
251	162	483
252	163	482
253	163	480
254	164	479
255	164	478
256	164	477
257	165	475
258	165	474
259	166	473
260	166	471
261	166	470
262	167	468
263	167	467
264	168	466
265	168	464
266	168	463
267	169	462
268	169	461
269	170	459
270	170	458
271	170	457
272	171	455
273	171	454
274	171	453
275	172	451
276	172	450
277	173	449
278	173	448
279	174	447
280	174	446
281	174	445
282	175	443
283	175	442
284	175	441
285	176	440
286	176	439
287	177	438
288	177	436
289	177	435
290	178	434
291	178	433
292	179	432
293	179	430
294	179	429
295	180	428
296	180	427
297	181	426
298	181	425
299	182	424
300	182	423
301	182	422
302	183	421
303	183	420
304	183	419
305	184	417
306	184	416
307	185	415
308	185	414
309	185	413
310	186	412
311	186	411
312	186	410
313	187	409
314	187	408
315	188	407
316	188	406
317	188	405
318	189	404
319	189	403
320	190	402
321	190	401
322	191	401
323	191	400
324	192	399
325	192	398
326	193	397
327	193	396
328	193	395
329	194	394
330	194	393
331	195	392
332	195	391
333	195	390
334	196	389
335	196	388
336	197	387
337	197	386
338	197	386
339	198	385
340	198	384
341	199	383
342	199	382
343	199	381
344	200	380
345	200	379
346	201	378
347	201	377
348	201	376
349	202	375
350	202	374
351	203	373
352	203	372
353	203	372
354	204	371
355	204	370
356	205	369
357	205	368
358	206	368
359	206	367
360	207	366
361	207	365
362	207	364
363	208	364
364	208	363
365	209	362
366	209	361
367	209	360
368	210	359
369	210	358
370	210	357
371	211	356
372	211	355
373	212	355
374	212	354
375	212	353
376	213	352
377	213	351
378	214	351
379	214	350
380	215	349
381	215	348
382	216	348
383	216	347
384	216	346
385	217	345
386	217	344
387	218	344
388	218	343
389	218	342
390	219	341
391	219	340
392	220	339
393	220	339
394	220	338
395	221	337
396	221	336
397	222	336
398	222	335
399	223	334
400	223	334
401	224	333
402	224	333
403	225	332
404	225	331
405	225	330
406	226	329
407	226	328
408	227	328
409	227	327
410	227	326
411	228	325
412	228	325
413	229	324
414	229	323
415	230	323
416	230	322
417	231	321
418	231	321
419	232	320
420	232	320
421	233	319
422	233	318
423	234	318
424	234	317
425	235	316
426	235	316
427	236	315
428	236	314
429	237	314
430	237	313
431	238	313
432	238	312
433	239	311
434	239	311
435	240	310
436	240	309
437	240	309
438	241	308
439	241	307
440	242	306
441	242	306
442	242	305
443	243	304
444	243	304
445	244	303
446	244	302
447	245	302
448	245	301
449	246	300
450	246	300
451	247	299
452	247	298
453	248	298
454	248	297
455	248	296
456	249	296
457	249	295
458	249	294
459	250	293
460	250	293
461	251	292
462	251	291
463	251	291
464	252	290
465	252	289
466	253	289
467	253	288
468	254	287
469	254	287
470	255	286
471	255	286
472	256	285
473	256	284
474	256	283
475	257	283
476	257	282
477	257	281
478	258	280
479	258	280
480	259	279
481	259	278
482	259	278
483	260	277
484	260	276
485	261	276
486	261	275
487	261	274
488	262	274
489	262	273
490	263	273
491	263	272
492	264	271
493	264	271
494	265	270
495	265	269
496	265	269
497	266	268
498	266	267
499	266	266
500	267	266
501	267	265
502	268	264
503	268	264
504	268	263
505	269	262
506	269	262
507	270	261
508	270	261
509	271	260
510	271	259
511	271	259
512	272	258
513	272	257
514	272	257
515	273	256
516	273	255
517	274	255
518	274	254
519	274	253
520	275	253
521	275	252
522	276	251
523	276	251
524	277	250
525	277	250
526	277	249
527	278	248
528	278	248
529	279	247
530	279	246
531	280	246
532	280	245
533	280	245
534	281	244
535	281	243
536	281	243
537	282	242
538	282	241
539	283	241
540	283	240
541	283	239
542	284	239
543	284	238
544	285	238
545	285	237
546	285	236
547	286	236
548	286	235
549	287	235
550	287	234
551	288	233
552	288	233
553	288	232
554	289	232
555	289	231
556	290	230
557	290	230
558	290	229
559	291	228
560	291	228
561	292	227
562	292	227
563	293	226
564	293	226
565	294	225
566	294	225
567	295	224
568	295	223
569	295	223
570	296	222
571	296	221
572	297	221
573	297	220
574	297	220
575	298	219
576	298	218
577	298	218
578	299	217
579	299	217
580	300	216
581	300	215
582	301	215
583	301	214
584	302	214
585	302	213
586	303	213
587	303	212
588	304	212
589	304	211
590	304	211
591	305	210
592	305	209
593	306	209
594	306	208
595	307	208
596	307	207
597	308	207
598	308	206
599	308	205
600	309	205
601	309	204
602	310	204
603	310	203
604	311	203
605	311	202
606	312	202
607	312	201
608	313	201
609	313	200
610	314	200
611	314	199
612	315	198
613	315	198
614	315	197
615	317	197
616	317	197
617	318	197
618	319	196
619	319	195
620	320	195
621	320	194
622	320	194
623	321	193
624	321	193
625	322	192
626	322	191
627	323	191
628	323	190
629	324	190
630	324	189
631	324	189
632	325	188
633	325	188
634	326	187
635	326	186
636	326	186
637	327	185
638	327	185
639	328	184
640	328	184
641	328	183
642	329	182
643	329	182
644	330	181
645	330	181
646	330	180
647	331	179
648	331	179
649	332	178
650	332	178
651	332	177
652	333	177
